"Access (Q5_1)","Overall Index","Canteen (Q4_1)","Sector","Gender"
43.6363636363636,46.25,38.3333333333333,"Private","Female"
60,54.1935483870968,48.3333333333333,"Public","Female"
23.6363636363636,26.8965517241379,20,"Public","Female"
49.0909090909091,52,51.6666666666667,"Public","Male"
83.6363636363636,73.125,75,"Private","Male"
80,76.7741935483871,83.3333333333333,"Public","Female"
94.5454545454545,83.75,90,"Public","Male"
63.6363636363636,62.5,63.3333333333333,"Public","Female"
30.9090909090909,40,40,"Public","Female"
67.2727272727273,70.3225806451613,80,"Private","Male"
60,61.9354838709677,60,"Public","Female"
81.8181818181818,70.9677419354839,65,"Private","Female"
69.0909090909091,67.0967741935484,66.6666666666667,"Public","Female"
81.8181818181818,78.1818181818182,91.6666666666667,"Public","Female"
54.5454545454545,52.9032258064516,41.6666666666667,"Public","Female"
80,76.875,80,"Public","Male"
70.9090909090909,68.6666666666667,73.3333333333333,"Public","Female"
60,59.375,60,"Public","Female"
49.0909090909091,62.5,81.6666666666667,"Public","Female"
20,24.4444444444444,23.3333333333333,"Public","Female"
70.9090909090909,64.6666666666667,58.3333333333333,"Public","Female"
30.9090909090909,35.625,30,"Public","Female"
56.3636363636364,57.5757575757576,55,"Public","Female"
69.0909090909091,58.125,55,"Private","Male"
58.1818181818182,55.625,50,"Public","Female"
78.1818181818182,72.9032258064516,73.3333333333333,"Public","Female"
52.7272727272727,53.125,50,"Public","Female"
81.8181818181818,76.1290322580645,80,"Public","Female"
60,51.0344827586207,35,"Public","Female"
36.3636363636364,37.3333333333333,31.6666666666667,"Public","Male"
30.9090909090909,40.7142857142857,48.3333333333333,"Public","Female"
60,56.969696969697,60,"Public","Female"
85.4545454545455,75,70,"Public","Female"
25.4545454545455,46,60,"Public","Male"
60,58.6666666666667,60,"Public","Female"
65.4545454545455,64.1176470588235,63.3333333333333,"Public","Female"
69.0909090909091,61.25,53.3333333333333,"Public","Male"
90.9090909090909,90.3225806451613,100,"Public","Female"
52.7272727272727,59.3548387096774,63.3333333333333,"Public","Female"
74.5454545454545,70.3030303030303,71.6666666666667,"Public","Female"
43.6363636363636,56,65,"Public","Female"
85.4545454545455,77.4193548387097,78.3333333333333,"Public","Female"
70.9090909090909,62.6666666666667,58.3333333333333,"Public","Female"
69.0909090909091,69.6774193548387,70,"Public","Male"
40,47.741935483871,48.3333333333333,"Public","Female"
38.1818181818182,43.3333333333333,36.6666666666667,"Public","Female"
80,61.9354838709677,45,"Public","Female"
20,26.6666666666667,23.3333333333333,"Public","Female"
96.3636363636364,84.2424242424242,91.6666666666667,"Public","Male"
50.9090909090909,53.125,48.3333333333333,"Public","Female"
74.5454545454545,67.5,60,"Public","Female"
